,965,985,1397,2896,3061,3528,4380,4735,5059,6299,6991,8123,8954,9600,10699,11392,11747,11755,14191,14211,14320,14854,15577,16872,17559,17963,18063,18130,18992,19331,21320,22846,23660,25406,25834,26222,26233,26556,27336,28216,28429,28708,28739,29639,30386,30392,31408,31587,32483,33289,33330,34006,34345,34941,35407,35679,36155,36416,36996,37279,37954
degree,105,55,84,29,19,75,63,45,51,53,134,90,40,197,100,28,16,110,21,39,6,46,37,70,20,86,39,27,39,41,17,18,55,43,19,73,60,55,18,40,24,15,29,64,3,25,87,16,22,43,61,107,84,6,45,59,31,17,42,49,15
complete,False,False,True,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,True,True,False,True,True,False,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False
x,206.61608239199367,207.76897786028601,213.54331757885421,226.44499827882964,229.6299870967742,233.1943765925926,241.67723407775023,242.96367291203558,245.48285875524024,253.72182047279213,261.38129403289116,266.284066520066,271.5311455627706,286.12710167234354,289.208444723093,287.0780568101623,290.08583627204035,292.8900023312037,308.2940528723945,310.4330889103182,309.4334715447155,314.92338959485727,323.7679726557461,332.3695861533686,338.24873765200414,339.581931787176,337.64962289463375,340.78045514689387,341.9738055555556,344.09105131244706,356.0223355444103,362.8174288461539,369.73672126105345,386.25481734898364,397.1027963926081,401.14750901888067,402.91900613614575,405.0956091221187,412.44820272572395,422.128538507109,422.7651062917064,424.8278046093453,427.1468869730149,437.25841337444587,446.1557326793378,449.9160384283247,467.9335301080803,467.158368616036,476.8927105614974,487.89057439271255,487.8329705089821,501.258105844351,501.28831063782843,506.63819893088964,513.901046955164,518.7272504977375,520.4186909962706,523.5104653511863,529.1143715194037,534.9640664112388,546.6904213166696
y,183.13233432421723,247.61440174642465,220.22369067505159,211.03026592082617,178.6646752688172,181.9004042962963,219.09779966914803,284.63874880914574,250.9325878748791,208.44306913470118,192.45050191285338,291.0298078614623,262.1531515151515,203.61474348861626,282.92148025078365,200.32838038108682,202.70772040302268,217.74940735624244,269.5329694966955,195.6707193828351,142.87786449864498,207.48909986545073,178.4386066038953,267.479514746973,181.48555254466294,249.87332980900408,197.34560061692125,220.34982653061226,295.49235069444444,140.8851790008467,305.417956317748,113.77652884615384,280.27115570934257,254.3524010878901,218.29120869757662,180.9331113452461,110.00941936720997,125.1972782000981,90.06856445201592,172.9641042654028,258.5211233147215,170.06541560086106,138.31065695318566,198.63135093466948,86.86559166155733,179.99462763385148,134.48567414160723,84.45441836464674,94.64612967914438,109.77036842105262,82.85464812874253,117.52792277644231,149.74561013021406,186.52747651775488,90.3050984831586,116.19954787330316,135.13823494938734,85.9724151984966,155.0626855952642,131.37876720306514,146.5206261221616
z,34.171813020214024,55.87881793179317,48.31589387835315,12.58268330464716,61.66094480286738,36.5155757037037,37.31420082712986,58.40584121943474,43.99336278619799,23.709675735950043,53.879578079197096,40.32958237126626,13.016050865800866,40.80865352011677,55.03556071055381,12.655565278757939,25.298366078925273,21.65572353652219,62.30146415861718,19.729424879459977,50.51614058265582,43.57987681267753,33.62928156842513,27.824413536168887,50.84427683531001,57.082074351978164,44.628703486094786,55.33898004036779,45.635884259259264,26.84054225232853,60.08602265005663,26.05207307692308,27.441849288735096,58.1251382765531,54.642121943122724,36.4200726567768,38.2322719079578,57.109164296223646,28.710746166950592,24.14877547393365,50.24829592809478,58.71054932252754,56.97465522889903,40.32305299672383,62.63617167381974,60.2104371329879,55.86553018160428,41.97306059804181,56.508959893048136,25.942317813765186,24.670005089820357,50.539450570913445,33.38332222467446,12.184985872470408,25.81608833370511,28.23398588235294,11.437308470964306,55.3416532769556,15.513032449024339,53.526568888888875,58.09295176905474
eigen0,53.02299033966464,26.90070278525698,16.29643707044527,6.6890555039543464,8.428721410225949,13.301435670046349,13.52191180565726,13.344668854485345,22.001838276653935,14.596225202457042,30.248482776954322,28.234721619832502,5.36072004269238,141.32259467445132,31.293920225757184,11.369852146105018,1.9067023904947509,32.3242264996006,2.7076438748944707,8.851908630872101,10.140426832220234,8.584022872321643,17.5591642940361,31.807731478840363,14.619567836941188,26.433588162857518,20.753574962420146,23.871287769019084,8.062592782331075,24.134429256823942,9.378749595790499,2.5435054884087274,11.248706907753665,13.574451108226441,17.173493771035776,23.727936746087842,12.37460289298641,17.918049902684032,4.437714727796877,7.1840823542170265,44.60881999604881,17.232721174470267,19.128880777628158,11.025448257792503,2.0291133568483755,11.928919038535936,32.703358054113046,7.246409083335081,4.701751955272935,11.729186270066664,30.361386111553582,28.128603343625393,18.554356037536504,9.537034048649355,15.124044224097087,38.236755830563226,4.203770338948475,22.47292575801914,23.920456623694196,27.5212578982788,20.86684120565134
eigen1,9.229081640232181,7.2283886240898285,9.033536640087204,1.3804101980438046,2.786677523881381,8.376672776052624,7.149787789481922,5.794441491876914,1.3518334870148985,4.784339403913113,15.75012571463171,4.314003490832319,1.7850374712042323,13.463945348514166,9.7807390041855,2.402754404524951,1.4540545537376097,10.082547895935097,1.7106918432951779,6.386767532970399,4.112844229561655,4.724265307808247,7.590527543218469,2.170629698900963,7.286733327891169,6.031368941628092,6.770709530056345,6.220828653235643,3.3921256602070557,2.696139036313756,4.016458882982246,1.3256022602084887,2.5912576148372564,4.913566100094006,6.1061180016837096,4.022192036255513,6.4819617397471,5.810069982646916,2.5686238501919196,3.925553029664719,6.701550133086338,3.464830712284863,4.568097278882131,5.377248667221493,1.7026488335857355,7.372403903780767,6.2183771119663165,4.104826549312739,2.289357005660967,2.309188035807308,5.095795116248003,14.380963765649469,4.944240980712247,2.001017989901015,9.620864485546365,6.8809405023051236,2.3138562923791595,5.715962935831163,7.54670070925755,8.630673798272959,6.22669218154225
eigen2,2.3085634482789663,1.8024022558312685,1.1975617664468787,0.4310666855088526,1.1105540912792873,0.8299566930406286,0.6714786871395964,1.187464586002668,0.7486161158231053,0.7939313467005326,1.9968987650661347,1.5803459188605915,0.8273451639378001,11.197979375877324,1.867250155977153,0.7755696117645952,1.064673678233504,0.9938728645052763,1.4931424251221261,0.9961773886560437,1.0548609755038232,1.840633046735013,1.0616639518181852,0.46625361488885003,2.3644682884662407,1.28983232260286,4.482039473302907,1.2928827637341658,0.7998843115114613,0.8666125764569401,1.588206452972228,0.5809569497629606,0.6361437179985365,1.250935637587654,1.49504879996807,2.4990222633678583,0.8373773584615232,1.5057191038167328,0.7367005151958971,0.7232414870015229,1.294352813030992,1.8621552398181247,2.1177601092883753,1.3656757708205975,1.141431651028873,2.531317537086518,1.8593976838270387,0.7906116958005528,0.5135887396736899,0.45209866946342375,1.718524811037325,1.2401801246460833,1.637076674892773,0.7866316426791639,1.0098324785464765,0.8854789863710266,1.7560774510167843,1.0573667329790895,0.9615653160948546,2.4890100483607993,1.6120072138883907
Volume,1037.931479952,747.903064032,523.336735606,59.754081436,215.20725543,347.1084765,310.85492451,323.865064444,159.464205278,230.58287535199997,1035.000341706,561.235838892,95.03058734400001,2007.932545466,984.2453689199999,145.734136652,61.245362298,595.586722196,101.14998122600001,266.63073343,303.60421411199997,343.97164434199993,398.68622493400005,165.635022638,685.063573916,452.320912488,1050.2731146719998,458.594576804,177.71953996800002,303.65563758999997,317.848517518,53.48041712,133.752466278,359.244417308,464.713970686,610.088142992,268.17343777,419.409886568,90.556744758,173.60566172799997,755.2051979079998,406.091205766,596.4609213219999,266.836427342,83.871692618,595.48387524,699.4107242780001,194.329323362,76.92952308800001,101.61279252799999,687.0176660799999,684.549339136,465.99955763599996,134.678088882,461.06290374799994,284.11471595,96.52186820600001,437.819491692,469.0849663159999,1006.6145818499999,584.273557036
