,253,539,734,923,1490,1517,1578,2598,2719,2920,3217,3401,3786,4785,5262,5346,5565,5677,6744,7724,7871,8755,9065,9490,9521,9596,10237,10452,11061,11249,11308,12787,13195,13309,13488,14722,14972,15290,16226,17116,17498,17616,18352,18994,19007,19393,19462,20101,20264,20268,21337,21525,22246,22780,22814,23063,24107,24326,24845,25057,25793,26515,26575,26737,26792,27171,27895,27949,28183,28813,29054,30014,30485,30528,30962,31866,31891,32631,33024,33446,34293,35153,36325,36417,38663,38908,39289,39747,40597,41345,42322,42460,42930,43060,43946,44179,44663,44849,45695,45937,46274,46463,46903,47074,47313,47738,47971,48040,48060,48543,48634
degree,13,29,183,65,107,14,76,38,21,43,81,53,70,43,97,82,63,69,67,58,32,33,84,51,64,29,49,24,54,58,8,143,13,30,31,39,36,46,31,32,57,31,15,40,47,10,38,12,26,24,26,3,39,70,21,4,23,38,69,39,18,40,36,37,71,36,46,5,61,48,5,10,84,72,79,47,60,32,102,45,46,53,12,76,103,72,62,80,67,49,20,74,68,1,19,61,63,81,34,48,16,32,21,48,65,38,6,6,57,2,12
complete,False,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False
x,186.51830590770788,189.2294037497275,195.28663166368514,193.94288389815833,200.60673995757656,203.12755112960764,202.0674635086311,211.9758666140489,214.74032421453182,215.56427151095733,222.95038696033834,219.52834632656723,228.30234283702924,237.82735196538044,248.76536023789293,243.8488193287037,248.91958010792084,253.21491367713003,259.76347143027556,269.35128601120545,268.2235353602115,278.6649588108288,278.9786027370479,281.3727216336295,280.73513411078716,281.3817071853547,283.81067005735315,287.6469697115384,291.26894220545364,293.9761242075604,293.78189614668383,307.06919064545656,306.47687792848336,303.4647139175258,306.5696993498049,315.3130914555277,312.579389009087,320.5813516278471,321.4882727482946,324.59547892156866,332.151668238491,330.27348488200585,332.994559891504,340.45998928953946,340.16898698744143,344.448710255262,347.4245841354599,347.7920677799607,351.48264988814316,354.3931190976969,360.7378255547054,364.2949038830516,370.53090610770914,376.22119987940914,377.07498775270534,377.8935677385345,388.0989301869375,390.4809873764439,397.82626960549436,399.0248348824494,406.2555741585022,414.21503186504225,412.1194825555053,417.82973825649987,423.5250387996943,420.4352220327422,427.2555129326985,427.6663896698784,429.2235002362949,436.238887514823,433.7645923363491,439.32654390681006,450.0711143444307,446.12656695680596,451.9506625051447,455.2264755838641,455.06496177807713,457.45083942992875,461.3032681096681,463.0549479201331,463.8016213865753,470.62641410533314,486.0480515523694,479.3343639750395,489.1339825762712,490.5706503198294,495.25965833010207,500.64800163819325,502.75600966933274,507.9986830221998,513.4507513227513,517.8089710952202,517.7585366136035,520.4912672848069,525.914982649498,529.5931203484938,536.2676239575998,537.3803271950894,544.2028898907105,542.997463206541,547.0206273370848,549.4800873786407,551.1535715183904,553.3927164130257,557.7645320345061,561.4386145299145,564.642843859649,567.1506513710899,568.2002294663573,578.1069856540842,582.9722665870714
y,249.02995474137933,246.27762066710272,291.6592805008945,268.4023253853704,260.3239606257457,248.83062485136745,244.64247643516663,226.70541594317285,215.1329859104232,262.26817485582467,291.70139829223524,268.6020043111191,234.37866934178106,261.3133245582402,286.2362133106769,261.1452563657408,206.82136799680237,319.6541235426009,237.13369473935344,267.7194557202241,175.27960938532718,290.99293937884073,318.423203714565,284.86415874914564,242.31447871720113,205.0997440732266,261.4145630343036,309.229653125,231.45798439375747,183.54914827424275,325.8029714940553,156.69167706060392,328.2516196054254,277.9362172312224,174.13398959687908,202.292598113064,241.23095802682818,276.590015442028,144.44689536362583,168.008656372549,318.202729539642,214.95134531710912,325.3950279114533,309.21028239914324,160.98978377969433,135.15808723690103,192.6302849012858,324.3536355599215,113.98898396718867,123.45124871174677,117.93105508798776,272.99790726359066,279.03647385774843,131.4723996583258,103.81490680312054,313.93487032156037,153.89333048696054,306.61113540550195,95.83875483149657,132.06668398031712,284.6363895625182,91.75192174320524,116.82112596284549,250.68527310465367,109.7814572821101,154.37967803547065,307.40038418478963,97.40491565313538,308.7196800567108,235.6117094697612,142.87634379989353,225.61027777777772,84.02235281545417,284.52495349597484,127.22591672383044,254.15467561419473,94.12282168715274,209.29136199524942,299.84423665223665,158.1017733777038,188.09448750612444,251.91010441933875,100.73736492541248,127.95155779081682,165.48894962711867,200.2479968905473,220.87747221145145,95.00380493798268,273.67609454458636,248.95557719475278,160.75710860484546,139.1186185171246,177.91170477568744,107.17111141125795,162.47643976429507,203.6062210572948,244.70000641191953,239.57867493995198,128.6902525273224,180.87556061144684,106.16602486839717,267.2300374785836,262.5229105627161,213.02144329896907,129.98844063196665,189.1342811965812,247.6040245614035,178.36107144825687,162.01775150812065,139.14108437191786,151.8954170220024
z,62.46292139959431,16.051074776542407,26.26263663685152,39.524493851394254,14.385876176587564,62.18909096313912,44.84663556804495,6.6645359116022105,46.065047565177146,61.7817570934256,50.216320884207164,6.842449434165618,39.483203801478346,60.51094031734582,40.730342339280654,20.99769444444444,36.27612497501832,50.50446872197308,19.31081808421806,56.38467648653533,9.141777263714475,59.71411459890384,32.25471515151515,20.463321599453177,38.083632944606414,56.69953208237987,50.813433719294444,61.76222884615385,17.477472817698505,14.552586522657897,59.4128717948718,43.61092398113606,14.29152774352651,35.19340353460972,59.36021742522756,56.34164939511527,37.135128804269435,50.79495277313087,60.51946745288472,48.040090196078424,37.86161876598466,6.553300884955752,58.795759909003415,9.565156729739378,37.49382372522317,60.854581101656954,33.65205030562777,17.617784872298625,28.77695302013423,33.174917656956566,6.719279265493495,57.09048405664686,22.448381849583917,19.439245301979696,40.51901719654391,63.01366157090142,45.19045649665359,40.89087340716922,25.61984315604536,10.910094040459267,44.48541546221748,8.967447047797563,9.713690077027639,19.511508411623335,36.51121024464832,10.568448158253753,46.329166516535835,61.99654114673827,13.632465737240075,38.57393901406065,62.895017562533255,5.927209677419355,40.63267628442252,48.25999754811818,30.144493894910145,24.6775144070367,14.607774372790033,10.542207125890735,40.8522427128427,28.07607554076539,30.201360607545322,37.115273799634494,57.43540192926045,41.35021700661265,30.95967010169491,35.278425550817346,45.46410288225411,30.269180669318978,15.833540408260713,32.686962411705345,54.95929731736749,30.840062928114417,21.293746743849496,55.74583003577425,58.49846573548668,16.855287064382754,48.356457581260884,12.58493728315986,41.391280191256826,34.094674487498516,32.49884879288437,36.0673243860651,12.58238887142408,42.01303698249059,29.594319666569735,10.87585641025641,52.637305263157884,55.726644067796606,12.097326682134572,59.49129920200843,22.868952072317924
eigen0,20.678599013489368,8.998346092730298,47.207630541787914,19.620784779203994,20.941417737956108,9.324949817282643,19.24174052664749,4.604354933245921,77.67095298539837,12.485969501195145,29.643706226814565,29.813239660121482,19.041803025644302,15.959353713038345,17.449098266931134,16.60468184396526,19.182877312394233,33.48759813887133,33.03278837203459,46.35898959805674,9.449737885121335,12.153580333120022,23.55706487270509,13.867304560558393,16.840303241984593,17.987702010256893,30.177291775169316,7.752024961323352,20.102801441718423,22.174732864095972,15.56709630410449,65.55199471093424,17.05190907484339,4.904748727352515,10.22218588234335,14.508710395729471,14.901563680279995,31.520598316929803,11.066784912866908,6.523222146512985,14.910364236813084,18.57897135368219,8.655114274957189,6.725145953821038,28.52111032918258,13.100602648356405,39.216088672851306,7.651430354786879,6.673578193343741,32.62964317303447,4.030677871598534,16.587689193201314,12.833451070678198,25.63837835091248,12.547644978475601,5.960977048252251,20.635769845746015,18.388096446522187,15.395001419525872,13.713621566297395,26.01815676348974,12.628405667604179,4.73023656907306,12.633296632963237,38.88647453943953,10.140288390080197,22.142746415241106,21.13250395555754,9.28425061064938,22.287542628600725,5.276238477435687,4.121967164973309,24.778654573934656,52.11481528303736,30.77889333912124,11.59642949310087,10.233007821860209,3.331964844974464,24.528626437210736,14.334082217318866,14.876326030493072,30.426031971165486,54.84426571617045,37.1302239411639,21.95160073991106,29.561836527836494,27.93679207712027,13.7613915408589,11.43697345825471,11.96535136709333,32.20505838545327,25.91506843335381,18.49778255706505,19.835142988980433,14.373559117369734,25.16684141527123,31.37208594662916,60.5888580748472,14.34287632367504,16.328954810751902,10.280281923316537,12.245662967955537,12.273826142281825,21.046903317079593,24.233905190106807,3.4527402440524444,2.185152713192356,14.222847942964835,15.590808488327495,11.91014067602763,8.099491081982373
eigen1,5.010130371230525,3.6868063836374962,19.17367904290559,7.786727293822984,8.109727069365064,2.113921053459779,11.497091464562953,3.0448918220491725,24.044071364309936,3.6480137698847077,11.763260476859141,3.0317783561216385,8.73332664544972,6.491502488928447,14.18419204631839,8.14951530749819,8.63564252246221,6.764887567396968,4.178667007496666,11.868255629412596,1.839010824771531,9.324280016776175,6.03208808049605,8.014042184052569,8.2685071909517,6.246811292228531,6.341135873589212,2.8731662996977887,5.640241131224011,5.733036659450249,5.6188730047261854,13.606638406837472,2.668165723078726,2.0159173326770654,2.1273498922456033,11.095238706641275,3.0758670575876432,7.135110629758075,4.46676366023179,1.8082281104514777,8.091382366310864,4.8275712775116615,4.794713356333655,4.464742546612661,4.362057370721001,4.9409184505666355,6.894639065111373,1.8145262357187206,3.66150546665454,14.623330120420972,1.8652978888446785,5.755583448814095,5.466185119001248,6.019708669311729,7.844705559124378,1.3228030916919231,3.9346516992748706,3.524752032043943,6.114435149872771,0.8535693185336889,5.809742048618037,1.553993401219672,2.9991005501791608,4.934204942288749,6.404584940748097,5.962934034333564,14.61441026362451,2.25803539467221,5.107703113936331,8.186191244217943,1.2555226144370324,2.0691650269361173,19.257901688696453,8.489565555980422,3.8488439059047614,6.896330619930164,4.7798871262783,2.037199876404186,12.278095544596267,4.161588064912093,7.810986958128005,4.498312879077168,6.563769383512305,11.06063790467307,12.450495640487595,4.923882109368591,7.411116615748774,9.428102078467756,6.220801292345649,6.574897830407029,3.787408021200701,6.535800479425168,6.35051654876325,7.200731119831528,5.251755749333037,5.882052617779859,19.69025838919622,1.652153737487466,8.224498983458144,5.386977015821776,5.658231378383556,9.023969948833715,4.220463543823119,9.377557708885982,5.418104153693738,1.4818011830600888,1.3168041642743942,10.152787606738405,3.491086427344947,7.185658701700168,4.325640052984705
eigen2,1.6618697221456185,1.3477720750967672,2.5972535154687195,3.0506395195625062,2.0556891279939093,1.334266127156913,3.816735355545217,1.5477844549430668,0.9008735178275404,2.549279427215499,2.6602344566069753,1.388626176624627,2.01795909126266,2.2339389787046438,2.1122144450886644,0.9187409896772056,1.9091782019933845,2.961138251092756,1.0729350940848312,2.0504315077917643,1.0887810128056439,2.2228177252715877,0.936070009157976,0.7681436234363952,0.8747779819711675,1.5291525205552916,2.327477945137201,1.3441762906090302,0.6656779714829842,1.0483280869317027,2.1510234224814693,4.205182170141995,0.4846006986117641,1.4068612191580392,1.1505295451157989,1.6138860401169985,1.7563365240112097,1.608271901400113,2.356257961180283,0.49494679725843493,1.9207944590670578,0.6444684661396763,4.306057379606075,0.689293982071345,1.824385677391321,3.142916889838224,1.2499091354445175,0.5336170460395363,0.5402675408354582,2.4084220075166893,0.6013981059135176,1.5686905922674161,1.256540270218744,1.1931923204668444,1.8997865320372096,0.7031778887185713,1.1915854014766343,1.8253101402426875,1.0395134005025872,0.6811007473724005,1.1454652586700336,0.5673702194988854,0.623454298089605,0.9612183664077668,0.8668574401692505,0.7638821948366677,1.6025014525839179,1.475595538520002,2.8570352224436935,1.1488303714800885,0.809462549455305,0.42352614829929847,1.7593384474281697,1.901531295630323,1.0629131698721197,1.0267094864289499,1.2042540544124085,1.3278698722460782,2.1142658482314154,1.255487108408623,1.018366613633079,1.5488241929527289,1.5636513734864372,1.587728430436802,1.3661634722664182,1.4224478468177886,1.6267487175841786,1.3394216534155898,1.5639631008869666,1.2858059412471476,1.305694421937736,1.718036940208398,0.768859588061839,1.7234469808266466,1.6201561872291501,0.7606239585230387,2.116165024363905,0.6228080876378528,2.5395382679054714,1.2495314989257906,1.0656516713550088,2.991039250997879,1.1668978828987426,1.228554312651486,1.598341285189406,0.5253012630722993,0.8408300394522956,1.9591701449433145,0.8137791703959145,2.11219196485926,1.8481434772174525
Volume,405.62839446400005,235.879493586,1437.2862100999998,890.7060624379999,775.774589108,172.98857999199998,1280.95883698,130.307093252,1000.032376666,445.84155425999995,1288.775205636,286.274502026,730.4705049899999,570.389217976,907.8815040899999,444.29884992,771.917828258,917.39484752,431.083016074,569.052207548,155.607444428,619.2415220759999,263.03108997,300.930193256,352.76505907999996,561.8014971499999,950.4087203959999,213.92166848,299.85030021800003,438.025185604,358.987299918,1461.146703892,166.817762632,139.666166248,197.72327291000002,675.858771354,356.518972974,799.2236950759999,444.761661222,104.90389511999999,643.4105567359999,278.920944672,587.718930062,144.03716187799998,679.715532204,574.1431318699999,731.910362374,104.698201208,137.917767996,977.9717046039999,67.210485746,562.8299667099999,327.516131382,511.715029578,613.0192812380001,97.55033776599998,445.63586034800005,431.802944766,321.96239575799996,94.05354126200001,530.124634702,109.737702052,113.491615946,235.36525880599999,538.095273792,150.773637496,799.2236950759999,325.562039218,435.248317792,607.1055812679999,96.62471516199999,57.388601448,1251.13321974,1258.3839301379999,374.825731142,339.08641393199997,305.404035842,108.24642118999999,1069.09410762,309.05510277999997,419.821274392,619.035828164,975.5548011379999,1104.2677665719998,758.4963005,578.822668368,795.7268985719999,439.465042988,430.774475206,407.685333584,553.9851284939999,683.16090523,355.33623298,704.3473781660001,471.24475239199995,348.239793016,1387.456859918,192.68377206600002,752.8397179200001,433.962730842,283.291940302,720.340079824,327.15616703599994,628.497748116,530.536022526,60.165469259999995,58.62276492,746.3603596920001,221.63519018,573.526050134,301.49585151400004
