,34,114,225,273,352,362,668,705,829,896,1161,1694,2469,2821,3543,3629,3677,3714,4048,4508,6110,7274,7618,7693,7907,8037,8128,8654,9012,9870,11420,11429,11457,11478,12338,12933,13342,13708,13737,14905,15688,15716,16268,16581,16768,17784,17846,18031,18322,18595,18620,18855,19094,19466,20019,20527,21379,21924,22062,22892,23212,23538,23923,24038,24503,25436,26278,26730,27407,27498,28215,28900,29679,30521,31109,31383,31882,32696,33164,33247,33283,34208,35396,36007,36233
degree,27,9,37,25,10,7,34,91,5,19,50,50,0,41,13,9,25,15,47,48,80,34,41,16,37,6,51,15,44,73,56,46,58,12,19,21,42,39,6,45,38,7,70,35,59,8,20,66,25,38,74,9,20,69,93,38,18,7,30,28,49,34,36,32,10,40,6,60,57,46,9,44,29,44,27,25,5,14,27,54,81,26,27,34,32
complete,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,True,False,True
x,61.948856703166626,58.75226053639847,64.86768120917769,63.504061698717955,65.86365341634739,64.505911634757,73.98365418740534,75.36650232232616,75.06231011801123,79.77261785000907,78.85966050452532,84.12165082090353,89.99582292405961,94.95995887879255,105.60550725019773,100.06120101651842,103.57257013318221,104.351067128236,105.72375921568627,108.98237118055555,120.7950828201317,128.33483039597164,131.227522032141,131.2417843915344,131.54202503681884,135.16910032432432,134.37257121288377,138.60140668641557,141.7433941354904,144.46346542056077,153.2065502014775,154.41233644331354,151.28349523030798,150.6300758333333,155.7721543903454,160.47626321164157,163.74130689206763,161.94317009803922,160.8026140651801,167.91864924647544,173.3916194237918,171.33066812545587,181.61521582805074,180.9795044955045,183.45579207090668,183.7745143626571,186.0411811367895,189.44045903443936,190.12038493449785,192.56412612875036,194.0271129772996,190.1359841505696,193.18454080081094,197.43640609592114,203.04012819476714,202.1895747508306,207.1059389508317,208.0190199733688,213.93399145047167,215.8654481792717,218.91551533742336,220.05787632100393,224.36048293357933,225.28059750812565,226.57139012738855,233.0686004778338,233.22220387596903,238.5752713210702,241.97741825902332,244.95115130090497,248.31756104328522,256.4689733982765,258.65682783775895,268.37653059465674,270.25793183856507,272.42874696707105,276.60399129172714,285.2599460901564,289.64936936631653,291.15695965557273,289.9357874380694,298.2158410326087,312.6326206652513,325.715905637918,330.6801816037736
y,135.95469156555194,174.08546633825944,184.58360006699044,147.6593717948718,193.47006130268198,171.21143593519884,153.3049668902835,143.25956448431637,184.14553433933065,139.49553695296896,169.4736487579434,239.51193550810177,249.91095919091555,129.92643000154013,278.380845768521,274.4518627700127,116.58325672995183,116.38175015051173,202.8351521568628,227.47014131944448,172.76086016139308,231.92518539711605,240.96049818558842,94.38779431216929,270.1306219931272,293.6665725405405,134.75424157020637,279.4946165890817,85.3475809908999,170.71647663551403,95.26014825386164,141.11711931014983,205.79390106295995,78.53827500000001,81.85406367041199,201.1483719683431,244.98678283485046,198.882293627451,284.7564168096055,176.23684248906173,94.63975185873608,215.72066301969363,302.25148643026944,164.24330369630368,146.514209486166,158.92075583482946,211.96373953778888,229.04765765057397,95.76763155021833,177.63850334983977,269.91866776013643,306.5755215453195,172.40907856056768,300.8019883460332,217.26627740175775,91.88735382059801,237.66763717784687,164.71259254327563,136.03105542452832,235.30344164332396,170.28511137328928,284.53381192206075,304.5153118081181,200.62106310942582,93.89342781316348,119.88221741438811,305.668788372093,227.5840600613155,193.89049907997168,160.52450678733032,218.37340621531632,143.20207568377666,225.34840122556173,268.12578741740884,162.06345919282512,162.3201606008088,121.15375834542817,268.6084224471021,181.39022195865815,206.10446081656352,202.6688114112194,258.6785713315217,233.2824125973107,199.64892360134183,205.4370691823899
z,47.320692157443034,50.42842474001094,29.20859705242003,15.968004807692308,52.60108173690932,57.86497938144329,57.02418610690327,32.09645275815995,51.78588779260979,51.458030688215,36.36598883111882,40.84976306470651,62.250584811923346,57.40278854150623,4.853245452148695,52.52210266836086,41.674385378294126,62.425307043949424,28.606727058823527,31.686356249999996,55.23816840093439,58.53222156099794,12.553198548470707,50.11171296296297,31.077633775159544,59.32288345945946,34.28566180171112,59.219078290308914,23.365056420626896,39.853764485981316,42.806305238415035,11.376748091603053,28.444363586808393,39.919684999999994,42.15833624635871,22.20550523359714,60.47841265713047,9.016598529411763,62.142475128644946,27.85212153621779,35.44943060718711,47.747172866520785,39.91973038827258,7.063436563436563,46.45702838663313,33.133960502693,7.089786383510305,29.26141909105206,58.08585174672489,14.608235362656568,35.26969400341162,7.38891431401684,28.629838824125695,21.93197968026296,18.318649156480447,33.09292234219269,53.16165856333394,48.23275366178428,9.835712264150942,12.505598506069093,20.929568664464366,54.18326453104359,34.09482134071341,24.39897995666305,62.728668789808914,40.47595327847093,40.206313953488376,35.12121683389074,33.85251040339703,18.57874208144796,63.27918201997779,44.83410116148371,8.03311467756055,22.43130709566217,23.361827802690577,37.410482957827845,56.398249637155295,48.80544507819687,62.39984886479159,58.49109017027863,25.949707527569117,26.671243206521734,34.08474168435952,38.166534574180275,9.06088993710692
eigen0,14.765320300742163,5.490888285487147,8.321924357461228,2.243744246091607,15.662837655200128,3.4634960284554737,14.288090834218764,31.084366013428614,9.932826975016825,9.2552512083428,11.761112730401662,15.295073169722048,4.027860977483299,10.424553914086859,12.463836529968095,8.721208262321227,6.09313940509548,4.008615811826596,6.990364861645289,12.92785510320325,26.852979597690954,9.86157192046636,12.2064138065674,3.9796087261477138,9.317926985119131,8.52866908680843,10.179850710632655,11.616880655142038,6.62535586022907,17.188600253934993,13.798850274431198,14.39838234672144,13.533804732992262,3.7496527649215614,6.7157528820351935,7.38526989387052,12.947051068529223,5.263884489515065,2.21213681286531,7.277794149463539,24.36979110166297,4.6996560530017355,23.9549718423507,14.21680090187319,15.732344734609601,4.308083229606748,5.613417273268364,10.572491207697647,8.088497373852578,13.620254705679871,26.679080010349924,4.573770930276598,9.768859851896128,15.159054119718348,22.25135259520167,7.284868765141058,10.441444793508227,2.7128794608002584,9.940697537310447,2.096847138183577,5.267629718530089,22.803546680125784,11.323308699846923,11.910652189008001,7.682011317868399,11.067827993063862,6.69084064825471,9.866783929136407,9.757383241572983,11.643117953746632,4.6693609322548575,19.730756287109287,8.974368182980106,17.39257139867777,3.4404215289439617,3.4506900525979596,3.8211657117706377,9.328490107686681,5.266901029425069,16.8446797696842,19.95229973137694,3.2071497393763346,7.041403226279785,17.807845181909876,8.39176791787254
eigen1,8.522895447518618,1.1600930129751321,5.608336609608437,1.9743764330701454,4.105711347315867,1.9806643111839348,4.499203292378318,5.994003619185114,3.0944420802665036,5.247535327416315,3.370214534392778,7.760488278348827,1.8073750021773698,4.142891687791089,3.8650454007549984,3.0473839123861857,1.823773697621295,2.9110553388259457,3.0465841787727537,2.242143224594812,5.039498664029465,3.3576917857691693,2.0586131392998785,2.1094631271488002,0.9989987862038219,4.651270405310219,2.765928884390187,7.294385773970515,4.462664116697014,4.406468544687005,4.880682897274102,3.9276253000821004,1.7645573803171144,1.0703475700282978,1.734349460243168,2.780654086219688,4.905281229333638,4.611578781207512,1.2691341391259818,3.3638758471489134,2.217906197765353,1.2357785929455118,5.903420676273003,3.267888631848117,5.47971360831428,1.220236407472348,1.3367145836244518,5.4748897444642495,5.025664945163478,6.442131750389106,3.854211778750599,1.9180914788326866,1.6055095286038643,6.743104590867124,11.910015246235094,4.329489318540648,4.234734359448645,1.403190673343983,4.111817096786348,1.3462410902896427,2.2831907405608236,2.145640715853491,3.982945545366268,2.927841292175049,2.2212336810914084,4.659976122427749,2.215764842911097,6.8195797370342515,8.220351843519845,5.391068151885999,2.4102413740412905,6.7457412619241435,2.9105991512685283,2.7465095775285526,1.7447783491079312,2.4732852036073547,1.87131544636335,4.846916008874763,1.9406118909417396,4.421481444150935,9.24017362169446,1.2823488395400227,0.8476715009205608,4.001997372177588,1.0387548818229433
eigen2,4.009690801116986,0.8547453852083504,5.3803568793797965,0.7304078574628721,1.0934029826655836,0.4877376550183383,2.1858958297486906,2.483471466656674,1.4895775616552214,3.3468272151595513,1.1096385139762486,1.1247560667760492,1.6294419150078945,1.7593063152826656,2.2868180632946364,0.87419946351717,1.6820005102558027,1.411868297111003,0.6325874102307885,0.572310826430564,1.1075468106037518,1.0268888789511643,0.3231814058762452,1.4013261071324845,0.7814077198179896,0.7585667892968762,0.4046801470256973,1.9870891888816864,1.3780225722956958,0.4988755170667183,1.1431303244596087,0.5009151843621744,1.2017611385923936,0.714828270282779,1.5381444639191277,1.6377318820016074,2.3180185147672923,1.1739932612817041,0.7324459850057848,1.3758936319795485,1.1191043144678876,0.4192349866879184,1.6490740504104007,0.989723541997518,1.4307094510533678,0.7817950793655999,0.6953660549127811,1.3930073203504652,2.5797779061886477,1.023508133917837,1.4754746634531088,1.3492102087619011,0.4001609071506538,0.9655280771866496,0.8763933858686265,1.948486367550728,1.0114170887912457,0.7331227519357528,0.4931733398130238,0.8063002349574727,0.9689964917003864,1.2135711267031706,1.8520720789191374,2.0682331750220824,1.2322879197046228,0.766159394047472,1.2103114053109703,1.47189079013617,1.2367315290294663,0.48479874919469573,0.42807351542032446,0.8353579813185967,0.7172890479138578,0.4992121775986963,0.3899473081822978,0.5796346448760341,0.3779707740498641,0.8859745899006981,1.5815526721786037,2.318495690409093,0.800225956746953,0.9233060014123701,0.5497162266900534,2.1883678682675147,0.5389137644182559
Volume,868.79966081,93.95069430599999,614.099174276,64.17650054399999,322.116666192,69.833083124,475.25578367599996,808.222803726,265.80795778199996,566.378186692,267.04212125399994,479.215391482,144.91136100399999,333.89264265400004,390.09850410800004,202.35138593,181.47345386199999,170.828793916,131.1298689,148.09961664,484.306315804,224.669175382,99.19588906199999,155.504597472,104.749624686,237.83358574999997,102.178450786,486.05471405599997,254.28909871,220.09248584000002,306.278234968,181.884841686,188.67274078199998,61.7081736,123.57061763399999,201.42576332599998,355.901891238,209.80779023999997,59.959775347999994,211.556188492,331.989973968,70.501588338,519.171433888,154.424704434,429.33461782200004,57.285754491999995,82.328988278,327.001896602,471.03905847999994,353.073599948,391.898325838,103.824002082,101.458522094,344.177338254,509.04100872199996,247.655470048,281.33784813799997,77.238063956,174.428437376,55.074544937999995,108.96634988199999,311.420582768,334.458300912,189.855480776,193.76366510400004,193.71224162599998,132.67257324000002,369.014878128,363.30687207000005,181.83341820799998,92.665107356,411.747788346,176.228259106,179.005126918,57.33717797,89.014040418,70.861552684,279.48660293000006,151.750683578,531.5130686079999,321.75670184600006,75.695359616,72.66137441400001,475.20436019799996,65.410664016
