,0,587,751,1107,1256,1363,2073,2767,3332,4150,4158,4822,4951,5851,6129,6465,6664,7270,8496,8605,8998,9189,10645,11497,11507,11794,14293,14316,14749,15158,15549,15792,16289,16489,16491,18387,18693,18976,19232,19254,19395,20369,20885,21568,22101,22619,22872,22900,23508,23770,24740,25254,25356,26192,27813,28122,29173,29675,29948,30077,30193,30968,31224,31605,32501,33769,33814,34034,34398,34964,36167,36900,36970,37344,38076,38160,38672,38732,38746,39513,39970,40510,40603,40860,41054,41258,41278,41644,41870,42206,42772,42776
degree,56,44,96,82,60,13,26,47,84,78,55,67,63,81,45,48,20,59,37,49,46,83,61,43,35,24,59,28,13,30,34,64,39,108,86,30,37,40,28,25,102,68,26,118,66,132,65,77,20,32,20,22,95,102,58,65,7,41,29,72,82,57,48,89,8,22,34,22,74,28,28,59,84,49,64,42,70,61,32,9,36,46,23,43,29,28,56,74,65,52,67,41
complete,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,True,True,False
x,30.832808234295417,54.78574450797473,53.60735035422343,60.91840549528862,63.28542140344381,62.54732520325202,71.40882758620688,81.40509362492855,92.67079381953027,101.04290173353145,100.44642287291127,106.11170996827518,108.31315749488651,115.95160008628127,118.56571308253788,122.90384377372817,123.26526858108109,131.5167819910777,142.6611802462667,140.69899050232166,144.94007123350022,148.53921957913997,157.7625117068205,163.80596735829963,162.7576858075041,166.47545846153847,180.93121418961346,177.34759658344285,180.11499534402483,184.16029341736694,186.7691738695978,189.92112816359588,190.86761157941436,191.8150055869278,193.04886103573045,200.29114389598945,206.3617611630322,207.89645317109148,207.3883806362379,207.8943536821706,213.93231850217566,217.1862614523837,218.11445356530265,229.12211638414553,226.8296059630697,233.28909156156783,231.94108368663595,231.64873280119053,229.83625,233.18646128464587,237.06925299890955,242.01467402862986,244.86932939130438,248.17948986112012,256.89332642312866,258.3083032460733,260.89925693822744,263.7963301928456,262.55533572796935,265.5844822076267,264.9457854725742,272.3113153278574,269.8501275060145,274.21065069809157,274.3304318102546,281.85081954665884,280.955983004386,285.34939210019274,286.60804008073814,291.5975630236101,298.75118772701205,303.2764204887444,305.4354428376142,305.7896622212961,312.44794582264035,314.5572333603896,316.6975344557558,317.1098796250617,317.6708846481272,321.6504090909091,331.67396541200407,333.80390833175176,334.01846199213634,340.85850804916055,338.88905213055307,340.7233159372419,340.87448583275744,348.98388757559087,350.13675144337526,354.5504071274298,362.0985565545244,363.4871379310345
y,173.85331638370118,172.12893855953453,202.0476056675749,186.25084551429248,151.5765624884281,146.34834294161124,227.5006794380588,199.7825690394511,128.27892913061393,244.7429949479941,311.3862024528591,176.62754249457342,208.0144102464206,220.87891095772216,107.06877681078046,251.27577695520122,302.2112069256757,307.65460706738673,133.66000471574534,199.6842851414099,268.01018639053257,91.24817985666361,69.0523982015609,173.39039018218625,205.22683066884179,330.7952285314685,50.36545923401202,205.32686070959267,198.7818727366787,281.62354061624654,163.50522033474894,348.06142964162785,94.2440501330967,221.672377868557,222.10411352329263,339.6617542970472,69.05183219106958,242.26303281710912,269.67060912863064,117.94844799741603,184.38053851811,89.64947021797413,232.38235015927472,62.82605244297645,125.12887565644589,249.1321915704286,158.09106488479267,271.93546113779337,316.3635,354.91853508578976,173.94281461286806,37.20942944785276,194.00871582608698,236.41531701114948,67.5665180412371,128.34384565445023,45.702921217547,62.425255704401586,312.935290229885,182.67108950102934,215.36305902258596,283.2162053459557,247.44431962424105,85.89063833738952,52.068148936170225,56.22041595525464,259.91566502192984,349.82912215799615,126.11530997693195,66.27398076923076,341.18179908239347,232.91874551583007,294.4012773580833,151.45437049385288,90.62120188195038,339.263565036526,175.1147685982772,272.1056396151949,315.4964743189557,93.38904545454544,111.43574901903793,114.47828430442209,254.58691677588467,149.33098597888176,130.23134088848593,207.30548885218826,132.82793181294633,174.0314504535459,309.66106632124354,270.20130260722,220.39905220417634,241.64334031582345
z,5.643909507640069,34.210510883739595,15.94828544959128,9.704297410721356,29.979909399493916,10.079036215816704,35.238919965942955,4.6914068038879355,29.693968520807584,23.47547320455671,23.620843292963357,18.500691601268993,31.79637654621603,8.417973080241588,26.304959573273443,11.243972665148064,3.3529239864864864,24.26586874853252,22.695530521351845,13.452276910088644,29.730702321347287,26.25551692589204,18.488841364099084,5.4032454453441305,24.942613376835236,22.167960839160838,23.930641492510535,12.047099868593953,3.784836006207967,30.8005350140056,33.11057307019735,5.529211783761895,6.195671251109139,26.093459930313582,3.771953414744459,21.285143234905245,34.68681703011422,34.859325958702065,4.083873858921161,34.878404392764864,14.497606790463934,10.73757967129036,23.386233766233765,28.878893493705593,18.348303574453666,22.91290935404791,31.768095115207366,29.290178177636474,31.862000000000002,28.494468983721955,34.15523009814613,32.14964458077709,15.877580173913042,13.066194692573514,8.177636261766022,19.6234232460733,35.16508683974933,33.61911438245252,8.2084530651341,8.340055876874816,13.350213583064454,33.75561715160797,3.974296253866422,18.4151724093762,34.428561562609,3.622576390933176,21.525535087719298,32.21096377649326,9.790735678585161,35.76319116527037,29.43135041101128,22.608904538341157,11.356731563421828,22.927591164826005,9.018700883946392,19.503226866883118,20.173968154528847,24.210184180233515,33.572963677639045,23.92904545454545,28.61341403865717,7.741469728601252,34.30665203145478,14.896133979574172,4.268087035358114,34.45479504541701,20.718146970744066,26.6918374106652,11.524287638786083,21.305501234186973,14.057106728538283,33.24940863680309
eigen0,21.661964158281634,29.275022214133834,31.209679392310868,21.961148802470944,12.634613729537444,2.42685450413939,10.278796382157292,9.982801676088568,20.038587384003552,36.780766976409076,36.08757675942599,23.748160598394023,18.336681633881277,25.336937812488944,3.746621902176351,19.207855122975705,2.7075859055497937,7.522518973528689,6.972165676838246,8.440328302215148,8.904948630328919,17.4438114287779,15.751812755888436,14.721379387980097,4.619760611837602,5.348931730425536,12.238953254618213,7.415410930884654,6.05243307930554,8.628233411857565,4.129038328268539,12.185578243900709,7.21664644292683,28.973142247146885,48.75667350552908,7.397024752704245,8.371343460683804,13.18385359730804,6.5552034434571445,5.840980795159438,23.431170673925163,20.984972249862288,9.045731849597672,43.88844542561908,14.036996057053308,39.96372876426031,23.036618755929144,17.645933698948426,5.970165556737698,21.184716050746065,4.0140628184003475,13.883487331408764,12.257198251450015,16.900840881176176,24.787799261628468,17.56371170258443,4.6531252860993595,5.805787340359263,10.065290816210968,14.670286214994539,19.920126919399554,14.710959972578326,12.754503996476771,17.402358152319184,5.778867309636112,3.318440983934858,2.9869652863122163,12.07793976191084,22.536831869518366,19.858986366106965,8.341749887541884,38.23196029060107,33.02564469268276,14.013644171342895,19.75674296013693,14.832724845152498,13.301506955707417,23.77892922617601,6.695080692106344,1.1246618007624904,8.066098072869766,27.319740958355695,3.0862617965644326,26.994381544068098,3.3293869888790195,12.00980891560436,22.48209120902303,64.33902745978367,11.904700100338669,28.48916457692204,15.220386932167818,9.718332342571205
eigen1,7.460889383603159,18.69113020938193,6.994897699662312,7.928682041206147,8.72106402702426,1.476319643760346,2.347820582633359,4.28856935293298,11.5499969263248,5.991536616630847,12.023615637217612,3.7755197940931167,7.107758416296856,7.2575133108952,3.235578911380595,2.6198205444322986,1.3983207050762059,6.106919137393415,3.651370552746468,3.159867141313817,2.465638083883182,8.372539093169959,10.748517862470136,2.3691061772037587,1.972348892034356,4.50062036057052,6.872853586156689,1.762643158949066,1.7181107768429602,1.4724329862018894,3.0154537979094878,4.120826827011816,4.2566533535763815,8.56974094372065,2.9302789940488227,2.115537397797475,2.203721955370623,2.0199918822323917,2.332613075289074,1.7558036648631876,7.818726929530413,8.782718920400024,4.787830931480077,22.26479982739169,4.4123383276997155,26.747350252568136,6.606951673157541,8.744600196374682,1.3945875432138632,4.385290274575897,2.287650940512626,2.7592290817065197,9.839972999392044,11.82334534312559,4.123707101917364,2.675527788750449,0.9900639954008096,4.378426787851794,1.3070760046768346,6.609657424476553,5.67931093262691,5.057785863723547,4.689968361710079,11.232873064372617,2.1801742174053835,2.8501144643592244,2.0818504798780735,4.466298357011241,5.221084280097136,3.6560821634312153,2.831371698482881,4.535164727823222,4.772475002309331,2.1141936754321184,5.1901552800245625,5.607062464945337,4.55398736889966,4.446626981374176,4.8295075778422305,0.5080744415734392,4.148636078095303,2.5467025555616885,2.7812000306373474,3.9137679662132245,2.4223054347812556,2.6312147020849603,5.351253603583881,9.170016835532525,5.864495335733176,7.957962357289945,8.452656343348504,2.755577734207736
eigen2,1.930350266194536,3.156384750944875,2.114501107045825,1.7251796702972844,3.0780586449155614,1.154290949669434,1.3102859597486631,1.649483831979852,1.8179681593184362,1.0734836439847604,6.41054715031365,0.8896723550563111,1.5517917038537385,1.5569822066511607,1.3668894998943406,1.004191144932899,0.5718264282702957,2.1816410784736338,1.0077523679002118,1.3552215360068178,1.2077133157574962,1.702347807998211,1.3040881842862575,0.7044205702023608,1.621206272441691,0.9175923359658569,2.018822901379781,0.3797191687685447,0.5796375296069506,0.33326173916161783,1.8067132188203487,3.2861155139522515,0.951145498603184,1.602928120105707,2.529924055266352,1.71801857117621,1.8789267001556376,1.6848983353506135,1.735878609724864,1.3591558277828923,2.0586040401034906,0.9926564704880544,0.6636069030829984,5.6551130278381585,0.9625161445026774,1.9710341828183453,0.8152870887174338,1.8829671031662552,0.3551302386038504,1.4572532194903205,1.3660322871478061,1.3066738868525063,1.5120295347810035,1.7114649812803648,1.3657247034118463,0.9347259896633883,0.4857695250373554,2.4146524154874256,0.5094052907864264,1.402838207451388,1.9513485651661924,1.3493314433951933,1.7257098406012763,1.6938848954814212,1.7148215691243107,1.6971417742740358,0.8138623558250213,0.8690929475168259,1.251919306625068,0.6399529135819653,1.5010579410607419,0.9326440009030872,1.8747288567441813,1.1386162496175887,2.548699855647213,2.653385898131512,1.4810397760661116,1.8333748273651804,2.298778705827848,0.07429899526737804,3.2281518712305224,0.9639028044082734,1.4648144316152567,2.796107094191534,0.8530875572762922,1.7005776431300064,0.5296822328729359,1.9708599578218078,3.5337094723040816,1.273469885445018,0.7664139606492695,1.9250184834661666
Volume,605.7685708399999,1025.281304364,943.6208212999999,649.4271036619999,833.2146140339999,69.57596573400001,241.587499644,359.75865208799996,624.02390553,519.12001041,1677.17673497,307.975209742,527.964848626,595.99811002,183.170428636,270.89888210400005,60.885397952,438.025185604,196.283415526,243.644438764,225.95476233199997,674.4703374479999,606.179958664,203.22558505599997,157.61296006999999,183.83893385,573.320356222,78.266533516,99.401582974,73.432726584,205.848182434,507.961115684,231.817038824,855.9952147879999,454.789239432,233.35974316399998,247.60404656999998,278.920944672,185.89587296999997,159.207087888,839.0768905259999,441.162017762,209.859213718,1650.282255976,303.55279063399996,1741.044694646,278.97236814999997,760.193275274,77.95799264799999,467.54226197599996,141.465987978,251.46080741999998,591.369997,788.6818820859999,458.903117672,245.54710744999997,57.440024926,349.319686054,107.372222064,524.570899078,653.438134946,369.374842474,448.87553946200006,802.926185492,147.431111426,174.68555476599997,93.796423872,266.88785082,535.009865112,270.076106456,268.99621341799997,427.174831746,714.7349207220001,246.781270922,721.368549384,506.82979916799997,394.006688436,625.412339436,362.432672944,4.525266064,353.844952118,270.950305582,156.944454856,297.073432406,113.440192468,311.36915928999997,223.22931799799997,748.314451856,694.7311877799999,666.653968792,354.616304288,319.134104468
