,23,262,406,422,430,738,1147,2080,2189,2634,2753,3401,3488,4198,4249,4511,5118,5186,5533,6980,7059,7342,7377,7862,9766,10632,11171,11540,12184,12473,13055,14351,14986,17215,17916,18182,18937,19669,20090,22145,22328,22639,24418,25854,25921,26791,27966,28786,29035,29360,30651,31592,31611,31733,32920,33418,33938,33959,34759,35493,36307,36371,37752,40096,40555,42251,43357,44580,45844,45861,46199,46426,47465,48252,48406,48494,48715,49419,49682,49884,50442
degree,35,35,50,19,4,38,44,15,14,23,21,14,16,35,12,35,35,58,43,24,16,17,33,16,9,23,84,19,28,25,40,28,6,23,44,3,15,22,11,31,36,42,12,5,15,25,9,13,16,4,12,16,12,35,22,8,18,10,10,10,5,26,45,51,27,8,29,91,20,78,24,32,11,50,15,28,17,44,44,27,39
complete,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False
x,126.41550885587174,134.84958310194364,137.35600476522544,133.95017025440313,134.35290071848465,138.7934181131019,144.98497093995113,158.91681024498888,160.74232595217006,168.21849030029233,169.54521248196252,178.98912823636917,179.4315566727605,191.21561185223194,192.22070485436893,195.76906512631712,205.86876413369416,205.41793322174257,205.16828363273453,219.9428653594771,220.14990924584578,222.0595285152409,227.99631702314676,228.81959559041138,240.45864056939502,247.26219001966572,256.42182659495546,258.4330959053401,258.9740308788599,257.9106144436603,269.5041531996916,273.94266411718957,275.6536612244898,289.0911128254581,294.5025382718817,294.81835968742814,303.6753245356794,306.4265354295837,309.6125558083969,322.0964220801077,325.3130498174538,330.61966465712135,344.1821471615721,364.9724746268657,365.4448252544838,376.2019368807339,391.40184112946196,414.03861914117317,413.72303359284894,418.1443952845292,430.2567693040992,441.3883068105193,441.62726963350786,447.52994158658385,454.661583879676,455.24810808580855,461.8574346754314,461.1636201232033,468.0325570019724,474.91840883977903,481.1717916892993,480.934531014297,493.51400329787236,510.690138499251,512.6767382690302,524.0667928082192,533.863056448854,545.9346766581882,554.1755661209069,561.0418653233183,557.4625376532398,561.9014592633416,570.4225181518152,586.2320994943602,584.3199705991813,583.6381328027854,587.9353825108225,601.5048651793526,608.3683990550079,606.5996311752764,620.8379542410713
y,169.36674246621337,131.62575287584292,97.85613493723848,179.20173189823876,210.4687753102547,147.7095734882419,194.82773511636879,221.20955412026726,105.43753144375553,97.02369784746213,166.28187481962485,238.7918187633262,254.27193144424132,186.1315378399179,66.37743446601941,139.12509254792434,119.30996504059092,278.74433301030746,152.66657105788425,148.6745163398693,184.9077537281636,75.19572418879056,204.0907782009962,299.8152462266943,53.033564412811394,135.1300835791544,117.12736335311573,92.5001927448233,298.2715853410248,155.00306516113855,315.70521750192756,185.4067115633912,48.82860680272108,257.0456943105111,161.12618177742914,69.05204045047117,294.0980723362659,168.604645704163,190.40047536693592,219.98507101985862,306.5191847838888,98.79961642803318,267.83598995633196,160.16577711442787,287.05447140087256,314.4709036697248,154.91941001598295,311.60159215080927,102.64709010957323,189.19425163731626,93.57723164918971,89.60193796358732,234.88343106457245,137.9914933107217,251.29249325106056,232.97117491749177,107.79902917009039,219.50676078028746,238.19365088757397,97.18852249408052,319.82823900054314,168.7499313295058,126.80428787234038,233.10709069862455,304.7679033715676,144.7393212328767,157.2375439616832,263.5277245157503,312.676193324937,331.9836103273372,288.95663572679507,173.47812051070085,188.82330363036303,212.24061913652272,185.772273353182,300.0793058940562,227.20410129870126,326.69912738407703,242.01384028466427,280.2338938266035,272.52167956349206
z,31.097587509443464,33.21206188020627,8.530128079962807,3.573344422700587,24.993591116917045,5.874577547592384,26.167696283914104,16.88898886414254,34.79861470327724,3.551268668615466,4.440000721500721,33.763118489186716,9.44969469835466,33.42905361723961,8.300733980582523,33.13015716643392,4.840632341110218,22.347387542947757,17.120331736526946,2.8961030065359474,2.169202386024712,19.15194395280236,29.807617052446524,34.02361438295354,17.051756583629892,35.11233726647001,12.476326557863498,6.599339560952825,33.48812419409569,15.202494001411434,26.308362837316892,6.382554316826549,34.74621360544218,8.902243651558983,19.971609548358174,25.414791082509765,27.546519387422613,17.38598937112489,20.41158038457162,26.48308313699091,27.523964197385467,15.453520535041449,19.74440349344978,35.60283283582089,18.14893407658749,32.6305504587156,16.845263718700053,5.274580222658809,32.83287370242215,24.958711686799592,8.585515729265966,2.2222312879298713,12.861602966841188,19.19087770868664,13.2229433089086,13.3431798679868,14.540183237469185,2.0153121149897326,24.436218540433924,0.7620568271507496,23.472140684410643,20.707134301474724,7.092475106382979,9.262756366607654,5.847582203684393,34.76878835616438,12.560864180636333,21.47432635492076,26.917406801007555,20.908434380110315,21.05888499708114,25.255622485533205,33.197824422442245,25.230937689614933,1.5437834015630814,3.3803444416811743,2.5614202597402596,16.314558005249342,14.495585603453303,26.41016527558463,4.697773313492062
eigen0,10.8131664832987,17.86437206432524,17.03539919314152,4.753287375050734,2.0841230316383452,17.040871350281225,10.814334473061866,6.484245021114732,2.7932724044366344,8.151084818347728,7.829985715557041,4.42406796629574,2.5979653281285007,10.569369740978535,6.915589089385884,15.4175771611005,12.991844757535262,41.96661625825878,15.663797898151044,4.345603826301416,3.882945044175179,6.319336423946525,9.510510579857616,4.981431419999748,3.776089572370612,9.339932553607115,35.615520629580374,29.869167924186915,7.708779969336465,5.65173612013741,33.73974528072151,20.324289668246724,3.0652039290638857,7.257932274034654,10.667135538970925,12.785204064211594,12.697260996410069,4.902164596397958,15.348886984466287,8.626933090800929,9.6430449731407,26.41861419918666,5.895077421868704,4.702252890969173,6.97381331126532,5.11467591113753,23.231805358159818,28.935240386567386,11.661348404067265,10.95841884924053,1.6181103822852436,3.9322286480339494,4.297846537095644,33.36957251715184,5.57566464280703,2.6433934781644957,6.76642477221867,3.8126575046904794,3.491616201303616,4.480889086458456,9.082147912354934,22.76374445226271,17.433353152963512,29.24441861003709,6.173134354574728,3.6622289627983875,10.31078362456341,61.45286564461237,3.1578270275133207,42.82110287857863,2.989683623667731,14.60420047544515,5.244766416373662,61.55135450156089,7.882928970824025,26.64785701415643,12.578976572356368,16.818998287904336,25.119916818300236,28.63068793314587,27.12909114892613
eigen1,5.401638514170737,4.8738547430587245,12.86551193525302,1.6265987019445947,1.868647657353913,3.5264059735874422,6.668547084991808,1.3613661379430746,1.8799406826195546,3.2120889819955805,1.2319819182256093,2.633754730835297,1.3200422258588242,3.7670546941467578,1.2197430753955614,3.2385941356853354,8.505410323361344,3.2732742360987657,3.6363198748581915,2.828815375390712,1.7824441653272334,1.1581475235168528,7.152746720555268,4.053974773853068,2.2437121009057046,1.9377915693384162,10.682211022115764,2.5712302129946787,4.112897714561301,4.8032666099000485,10.423915494463506,3.0380620744554414,2.1241964254998544,1.593351710652659,6.334077683036871,1.368078852505318,2.2488232563038824,1.7659913051770537,4.533358003686358,1.5158944905382434,3.4901684987463977,2.876694442697223,1.3964893965721312,1.614236409131048,3.4675347266363334,2.8589063999479287,4.125384595341343,6.972247337800959,4.24028511824287,4.749606638811674,1.113449275249377,2.0033582084955817,1.701362137007489,3.5112937609138433,2.582390947889224,1.30899487247613,2.120242638740443,1.9090709684236753,2.8749534887912667,1.540834436726449,1.78684280244033,4.0130710230195765,5.667083327349814,5.936074107343511,1.903505426225828,1.9002069218723223,4.472439533510358,9.460029615367912,1.8448767821477292,10.148097875791404,1.9763756922458398,5.292340444241558,2.6277242505293423,8.862565491205503,5.744360506665095,4.179807221671493,2.691587696520171,4.784517487156524,5.871978009351246,5.969890287516079,8.365104950590785
eigen2,3.258570309524905,2.1459822286050994,2.8914458632370508,0.8053017152542451,0.7838068809980316,1.2070148850554079,1.6347012227608833,0.7281638015481456,0.40483084791216006,1.1032018800246222,1.0748834547487691,1.2837238082251545,0.5186320510161997,2.1900409875132603,0.7407574007164814,1.7731311747833831,2.6142578726907066,2.2507556214737936,0.7735206552972014,1.7968111440083483,1.3719183091132232,0.7179221522055719,1.1470470774267305,3.3323591105433663,1.1643133357342113,1.437745361068319,4.647189752083872,0.8736974983036447,1.4641401545894193,1.0852266584877315,5.95620417890185,1.692753687904189,0.5018773630890929,1.0861857732682232,1.669060387821136,1.342984373116213,0.5921545510658679,1.3329411258713466,1.3968494044120674,0.8737310363624474,2.807190412239312,2.016453305911682,0.8325435175188146,0.7721896009873791,0.9187606880320902,2.538857296499396,1.3495983890325363,3.706590683851753,1.545163216619764,1.3138263172422107,0.7810213023045662,1.5661080627975796,0.9369618050306048,1.5145878773964427,0.7419269904084449,0.5373894468404234,0.8193552945948733,0.8404673655146295,0.8095585002314767,0.3402281281476556,1.0901180608784722,1.4128510366050184,1.269757358419667,0.787829288186706,1.000021493048123,1.7006773076363577,0.4573836396910695,2.4284242598012966,0.7927542551456888,9.042672329240794,0.7695416875069387,2.288254831391532,0.9135210835110177,2.967185388340467,1.1350937686363531,1.2063332450927178,1.4045950382755732,2.624442689052251,4.184691749020723,1.4571266320880643,1.7774059666690858
Volume,612.607893414,518.554352152,442.447604712,105.109589032,78.729344818,367.36932683199996,399.920388406,115.44570811,58.057106662,193.506547714,142.54588101599998,168.82327827400002,56.25728493199999,400.89743448800004,105.93236467999999,405.06273620599995,703.1132146939999,583.7078987780001,257.63162478,196.69480335,120.690902866,104.59535425199999,351.016660828,347.519864324,144.49997317999998,209.19070850399999,1386.37696688,330.292999194,303.089979332,218.601204978,666.96250966,396.680709292,75.59251266,159.978440058,458.85169419399995,223.74355277799998,157.818653982,116.114213324,451.960948142,152.779153138,436.636751698,545.911642448,117.75976461999998,103.36119078,212.17327022799995,280.2579551,482.60934102999994,1099.331112684,356.673243408,353.330717338,53.943228422000004,152.522035748,117.86261157599999,545.8087954920001,133.341078454,62.325255336,125.16474545199999,100.17293514400001,130.35851673,65.153546626,189.341245996,456.794755074,483.3806932,377.6025989539999,147.94534620599998,150.15655576,150.310826194,1314.12698029,81.66048306399999,1855.307662762,88.088417814,559.847404986,155.81313834000002,661.04880969,276.349770772,413.547610076,296.97058545,587.77035354,881.552683354,683.880833922,414.6789265919999
